Roles,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
Competed in Olympic Games • Competed in Olympic Games (non-medal events),Female,"Anna Maria ""Sandra""•Cecchini",Sandra•Cecchini,"27 February 1965 in Bologna, Bologna (ITA)",,Italy,806,170 cm / 59 kg,"TC Bologna., Bologna (ITA)",,,,,,
Competed in Olympic Games,Female,Silvia•Farina-Elia,Silvia•Farina-Elia,"27 April 1972 in Milano, Milano (ITA)",,Italy,807,171 cm / 62 kg,Francesco Elia,,,,,,
Competed in Olympic Games,Female,"Rosa ""Rosetta""•Gagliardi (-Prouse)",Rosetta•Gagliardi,"9 February 1895 in Milano, Milano (ITA)","31 July 1973 in Randogne, Crans-Montana, Valais (SUI)",Italy,808,,,,,,,,
Competed in Olympic Games,Female,Laura Rosa Lucia•Garrone,Laura•Garrone,"15 November 1967 in Milano, Milano (ITA)",,Italy,809,,,,,,,,
Competed in Olympic Games,Female,Laura•Golarsa,Laura•Golarsa,"27 November 1967 in Milano, Milano (ITA)",,Italy,810,165 cm / 56 kg,"Tennis Club Milano, Milano (ITA)",,,,,,
Competed in Olympic Games,Female,Rita•Grande (-Moine),Rita•Grande,"23 March 1975 in Napoli, Napoli (ITA)",,Italy,811,176 cm / 68 kg,Tennis Club Napoli,,,,,,
Competed in Olympic Games,Female,Laura•Negrisoli,Laura•Negrisoli,"7 September 1974 in Castel Goffredo, Mantova (ITA)",,Italy,812,170 cm / 56 kg,"Sterilgarda Tennistavolo, Castel Goffredo (ITA)",,,,,,
Competed in Olympic Games • Non-starter,Female,Giulia•Perelli,Giulia•Perelli,"1897 in Milano, Milano (ITA)",1964,Italy,813,,"Tennis Club Milano, Milano (ITA)",,,,,,
Competed in Olympic Games,Female,Katia•Piccolini,Katia•Piccolini,"15 January 1973 in L'Aquila, L'Aquila (ITA)",,Italy,814,,,,,,,,
Competed in Olympic Games • Competed in Olympic Games (non-medal events),Female,Raffaella•Reggi-Concato,Raffaella•Reggi-Concato,"27 November 1965 in Faenza, Ravenna (ITA)",,Italy,815,173 cm / 56 kg,,,,,,,
Competed in Olympic Games,Female,Adriana•Serra-Zanetti,Adriana•Serra-Zanetti,"5 March 1976 in Modena, Modena (ITA)",,Italy,816,160 cm / 58 kg,Tennis Club La Meridiana (MO),,,,,,
Competed in Olympic Games,Male,"Paolo Girolamo ""Mino""•Balbi Di Robecco","Mino, Conte•Balbi Di Robecco","19 November 1885 in Sestri Levante, Genova (ITA)","23 November 1964 in Genova (Genoa), Genova (ITA)",Italy,817,,Società Lawn Tennis Genova,,Conte (Count),,,,
Competed in Olympic Games • Administrator,Male,Alberto•Bonacossa,"Alberto, Conte•Bonacossa","24 August 1883 in Vigevano, Pavia (ITA)","30 January 1953 in Milano, Milano (ITA)",Italy,818,,"TC Milano, Milano (ITA)",,Conte (Count),,,,
Competed in Olympic Games,Male,Omar•Camporese,Omar•Camporese,"8 May 1968 in Bologna, Bologna (ITA)",,Italy,819,188 cm / 78 kg,,,,,,,
Competed in Olympic Games • Competed in Olympic Games (non-medal events),Male,Paolo•Canè,Paolo•Canè,"9 April 1965 in Bologna, Bologna (ITA)",,Italy,820,180 cm / 68 kg,,,,,,,
Competed in Olympic Games,Male,Filippo Cristiano•Caratti,Cristiano•Caratti,"24 May 1970 in Acqui Terme, Alessandria (ITA)",,Italy,821,178 cm / 68 kg,,,,,,,
Competed in Olympic Games • Non-starter,Male,Cesare•Colombo,Cesare•Colombo,"1889 in La Spezia, La Spezia (ITA)",1945,Italy,822,,"TC Milano, Milano (ITA)",,,,,,
Competed in Olympic Games,Male,Massimo•Costantini,Massimo•Costantini,"28 March 1958 in Senigallia, Ancona (ITA)",,Italy,823,178 cm / 72 kg,"Mobili Grinza Pirino, (ITA)",,,,,,
Competed in Olympic Games,Male,Luigi Massimiliano Uberto•De Morpurgo,Uberto•De Morpurgo,"11 January 1896 in Paris Ie, Paris (FRA)","26 February 1961 in Genève (Geneva), Genève (SUI)",Italy,824,,,,Barone (Baron),Louis Maximilien Hubert de Morpurgo,,,
Competed in Olympic Games,Male,Renzo•Furlan,Renzo•Furlan,"17 May 1970 in Conegliano, Treviso (ITA)",,Italy,825,175 cm / 70 kg,"Sporting Club Isolaverde, PD",,,,,,
Competed in Olympic Games,Male,Andrea•Gaudenzi,Andrea•Gaudenzi,"30 July 1973 in Faenza, Ravenna (ITA)",,Italy,826,183 cm / 83 kg,"Club Atletico Faenza, RA",,,,,,
Competed in Olympic Games,Male,Diego•Nargiso,Diego•Nargiso,"15 March 1970 in Napoli, Napoli (ITA)",,Italy,827,188 cm / 81 kg,"Junior Tennis Club, NA",,,,,,
Competed in Olympic Games,Male,Stefano•Pescosolido,Stefano•Pescosolido,"13 June 1971 in Sora, Frosinone (ITA)",,Italy,828,185 cm / 86 kg,"AS Le Pleiadi, TO",,,,,,
Competed in Olympic Games,Male,Clemente Maria•Serventi,Clemente•Serventi,"7 September 1889 in Roma, Roma (ITA)","19 January 1974 in Roma, Roma (ITA)",Italy,829,,,,,,,,
